Question,Correct Answer,Simple Answer,RAG Answer,Multi-Question Answer,Simple Answer Points,Simple Answer Justification,RAG Answer Points,RAG Answer Justification,Multi-Question Answer Points,Multi-Question Answer Justification,Simple Answer Overall Score,RAG Answer Overall Score,Multi-Question Answer Overall Score
What is the full name of the potion that grants the drinker luck for a period of time?,Felix Felicis,"{'answer': 'Lucky Potion', 'source': 'Fantasy literature or games'}","{'answer': 'Felix Felicis', 'source': 'The Half-Blood Prince, Chapter 9 - The Half-Blood Prince'}","{'answer': 'Felix Felicis', 'source': 'The Half-Blood Prince, Chapter 9 - The Half-Blood Prince'}",2,The given answer is incomplete as it only provides a partial name for the potion without specifying the full name as required.,3,The given answer is exactly the same as the correct answer and includes a valid source citation.,3,The given answer matches the correct answer and includes a citation.,372.0,594.0,624.0
What spell is used to erase someone's memories?,Obliviate,"{'answer': ""There is no known spell or method in real life to erase someone's memories."", 'source': 'Real life and folklore'}","{'answer': 'Obliviate', 'source': 'The extract mentions that Obliviate was about to be used by Lockhart on Harry and Ron.'}","{'answer': 'Obliviate', 'source': 'The extract mentions that Obliviate was about to be used by Lockhart on Harry and Ron.'}",1,The given answer states that no answer can be given in reality for this question.,3,The given answer matches the correct answer and provides a justification from a valid source.,3,The given answer is identical to the correct answer.,372.0,594.0,624.0
Which magical creature is known to guard the Chamber of Secrets?,Basilisk,"{'answer': 'A snake named Boris or The Basilisk', 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'Basilisk', 'source': ""J.K. Rowling's 'Harry Potter and the Chamber of Secrets'""}","{'answer': 'A basilisk is a magical creature that is known to guard the Chamber of Secrets.', 'source': 'The text describes Harry standing in the Chamber of Secrets and being confronted by Tom Riddle (later revealed to be Voldemort) while Ginny Weasley lies unconscious on the floor. The basilisk, a magical creature with the ability to petrify people by looking at them, is mentioned several times throughout the chapter but does not make an appearance. However, it is stated that the basilisk can only be called into the chamber and that it guards the Chamber of Secrets.'}",3,The given answer is correct as it correctly identifies the magical creature guarding the Chamber of Secrets as a Basilisk or Boris. The source cited also adds credibility to the answer.,3,The given answer matches the correct answer.,3,The given answer correctly identifies the magical creature that guards the Chamber of Secrets as a basilisk.,372.0,594.0,624.0
What are the names of the Deathly Hallows?,"The Elder Wand, The Resurrection Stone, The Cloak of Invisibility","{'answer': ""The Deathly Hallows are a trio of magical objects mentioned in J.K. Rowling's Harry Potter series: The Resurrection Stone, The Invisibility Cloak, and The Elder Wand."", 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'The Deathly Hallows are a trio of magical artifacts: The Invisibility Cloak, the Resurrection Stone, and the Elder Wand.', 'source': 'Harry Potter and the Deathly Hallows - book by J.K. Rowling'}","{'answer': 'The Deathly Hallows are the Resurrection Stone, the Invisibility Cloak, and the Elder Wand.', 'source': 'The Tale of the Three Brothers from The Tales of Beedle the Bard'}",3,"The given answer correctly identifies the Deathly Hallows as a trio of magical objects - The Elder Wand, The Resurrection Stone, and The Invisibility Cloak - mentioned in J.K. Rowling's Harry Potter series.",3,The given answer correctly identifies the three components of the Deathly Hallows as stated in the provided source.,3,The given answer correctly identifies all three Deathly Hallows.,372.0,594.0,624.0
What language is commonly spoken by goblins?,Gobbledegook,"{'answer': 'Goblin language name', 'source': 'Folklore or fantasy literature'}","{'answer': 'Gobbledegook', 'source': ""The extract mentions that goblins speak in Gobbledegook and that they use it when they don't want wizards to understand them.""}","{'answer': 'Gobbledegook', 'source': 'The excerpt mentions that the goblins were speaking in a language called Gobbledegook.'}",0,"The given answer does not match the correct answer. The given answer provides a specific name for a goblin language, but according to folklore and fantasy literature, there is no commonly spoken language among goblins called what was provided in the given answer.",3,"The given answer matches the correct answer, which is explicitly stated in the question source.",3,"The given answer matches the correct answer, and it also includes an explanation of where the information was obtained from.",372.0,594.0,624.0
Who originally created the Marauder's Map?,"James Potter, Sirius Black, Remus Lupin, and Peter Pettigrew","{'answer': 'J.K. Rowling', 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': ""Messrs. Moony, Wormtail, Padfoot, and Prongs (Remus Lupin, Peter Pettigrew, Sirius Black, and James Potter) originally created the Marauder's Map."", 'source': ""Book: Harry Potter and the Prisoner of Azkaban, Chapter 10 – The Marauder's Map""}","{'answer': 'Moony, Wormtail, Padfoot, and Prongs', 'source': 'Harry Potter and the Prisoner of Azkaban by J.K. Rowling'}",0,The given answer does not match the correct answer.,3,"The given answer correctly states that Messrs. Moony, Wormtail, Padfoot, and Prongs (Remus Lupin, Peter Pettigrew, Sirius Black, and James Potter) originally created the Marauder's Map according to the information from Harry Potter and the Prisoner of Azkaban, Chapter 10 – The Marauder's Map.",2,The given answer is incomplete as it only lists the names of the creators instead of providing a full sentence with correct verb form.,372.0,594.0,624.0
What is the name of the magical contract that enforces the rules of the Triwizard Tournament?,The Triwizard Tournament Binding Magical Contract,"{'answer': 'The Triwizard Contract', 'source': ""J.K. Rowling's Harry Potter series""}","{'answer': 'The name of the magical contract that enforces the rules of the Triwizard Tournament is not explicitly mentioned in the text provided.', 'source': 'The given text does not provide information about the name of the magical contract that enforces the rules of the Triwizard Tournament.'}","{'answer': 'The Triwizard Tournament has no specific magical contract named to enforce its rules.', 'source': 'The text provided in the extract does not mention a specific magical contract for the Triwizard Tournament.'}",2,The given answer is incomplete as it only provides the name of the contract without specifying that it is a magical binding contract.,1,The given answer correctly identifies that no explicit answer can be given based on the provided text.,1,The given answer correctly states that no specific magical contract is mentioned in the text to enforce the rules of the Triwizard Tournament.,372.0,594.0,624.0
What magical item is used to destroy Horcruxes that is not a sword or wand?,The Basilisk Fang,"{'answer': 'The magical item used to destroy Horcruxes that is not a sword or wand is the Resurrection Stone.', 'source': 'Harry Potter and the Deathly Hallows'}","{'answer': ""The exact method to destroy a Horcrux using an item other than a sword or wand is not explicitly stated in the given text. However, in the extract from 'Harry Potter and the Deathly Hallows,' Harry, Hermione, and Ron attempt to destroy the Horcrux locket using various methods without success."", 'source': '[{""book"": ""Harry Potter and the Deathly Hallows""}, ""chapter"": ""The Thief"", ""pages"": 251-253]'}","{'answer': ""A basilisk fang or nail from the deathly hallows (the Resurrection Stone and the Elder Wand) is used to destroy Horcruxes, but in this passage, Harry, Ron, and Hermione are trying to figure out how to destroy the Horcrux locket that was around Voldemort's neck."", 'source': ""The Deathly Hallows by J.K. Rowling, chapter 14 'The Thief'""}",0,The given answer is incorrect as the Resurrection Stone is not used to destroy Horcruxes.,1,The given answer correctly states that no definitive answer can be given based on the provided text.,3,The given answer correctly states that a Basilisk Fang is used to destroy Horcruxes and provides a source from the book to support this statement.,372.0,594.0,624.0
Name the creature that can transform into a person's worst fear.,Boggart,"{'answer': 'The Monster under the Bed or The Boogeyman', 'source': 'Folklore and Popular Culture'}","{'answer': 'A Boggart', 'source': ""The extract is from Harry Potter and the Philosopher's Stone by J.K. Rowling, specifically from chapter 14 (Nightmare). In this chapter, Harry encounters a Boggart in the castle.""}","{'answer': 'Boggart', 'source': ""The creature that can transform into a person's worst fear is called a Boggart.""}",2,The given answer mentions two creatures without indicating which one can transform into a person's worst fear.,3,The given answer is exactly the same as the correct answer. The source provided also confirms that a Boggart can transform into a person's worst fear.,3,The given answer correctly identifies the name of the creature that can transform into a person's worst fear. This matches the correct answer.,372.0,594.0,624.0
What is the name of the curse that causes unbearable pain?,Cruciatus Curse,"{'answer': 'The Curse of the Evil Eye or the Mal de Ojo in some cultures is believed to cause unbearable pain and misfortune.', 'source': 'Various folklore and cultural beliefs'}","{'answer': 'Cruciatus Curse', 'source': 'The Unforgivable Curses lesson taught by Moody in Harry Potter and the Goblet of Fire.'}","{'answer': 'Cruciatus Curse', 'source': 'The name of the curse that causes unbearable pain is the Cruciatus Curse.'}",2,"The given answer mentions the Curse of the Evil Eye or Mal de Ojo, but it does not directly answer the question about the curse that causes unbearable pain. The answer is incomplete.",3,The given answer matches the correct answer.,3,The given answer matches the correct answer and provides an explanation.,372.0,594.0,624.0
What was the name of the group formed by Dumbledore to fight against Voldemort?,The Order of the Phoenix,"{'answer': 'The Order of the Phoenix', 'source': 'Harry Potter series'}","{'answer': ""Dumbledore's Army"", 'source': ""The Harry Potter series, specifically mentioned in the books 'Harry Potter and the Order of Phoenix' and 'Harry Potter and the Half-Blood Prince.'""}","{'answer': 'The Order of the Phoenix', 'source': ""J.K. Rowling's Harry Potter series""}",3,The given answer matches the correct answer and provides a source to validate its accuracy.,2,"The given answer is incomplete as it only mentions the name 'Dumbledore's Army', but does not specify that it is also known as 'The Order of the Phoenix'. The correct answer includes both names.",3,The given answer matches the correct answer.,372.0,594.0,624.0
What is the antidote for most poisons?,Bezoar,"{'answer': ""The antidote for most poisons depends on the specific poison. There isn't a general antidote that works for all poisons."", 'source': 'Mayo Clinic'}","{'answer': 'A bezoar is an antidote for most poisons.', 'source': ""The Half-Blood Prince's book on Advanced Transfiguration mentions that a bezoar is a stone taken from the stomach of a goat, which will protect from most poisons.""}","{'properties': {'answer': {'title': 'Answer', 'description': 'Antidotes vary depending on the specific poison.', 'type': 'string'}, 'source': {'title': 'Source', 'description': 'The Harry Potter series by J.K. Rowling', 'type': 'string'}}, 'required': ['answer', 'source']}",1,The given answer correctly states that there isn't a general antidote for most poisons.,3,The given answer correctly identifies that a bezoar is an antidote for many poisons. It also provides a source to support the claim.,0,The given answer does not provide the correct antidote for most poisons.,372.0,594.0,624.0
What is the maximum sentence for breaking the International Statute of Wizarding Secrecy?,"Azkaban imprisonment (without specifying a maximum, but implies severe punishment)","{'answer': 'The maximum sentence for breaking the International Statute of Wizarding Secrecy is 10 years', 'source': ""J.K. Rowling's 'Harry Potter and the Philosopher's Stone'""}","{'answer': 'There is no specified maximum sentence for breaking the International Statute of Wizarding Secrecy.', 'source': 'The text provided does not mention the maximum sentence for breaking the International Statute of Wizarding Secrecy.'}","{'properties': {'answer': {'title': 'Answer', 'description': 'The maximum sentence for breaking the International Statute of Wizarding Secrecy is unknown based on the provided text.', 'type': 'null'}, 'source': {'title': 'Source', 'description': 'The text from which the question was derived.', 'type': 'string'}}, 'required': ['answer', 'source']}",0,The given answer does not match the correct answer as it specifies a maximum sentence of 10 years which is not indicated in the correct answer.,1,The given answer correctly states that no specific maximum sentence is mentioned in the text provided.,1,The given answer correctly states that no definite maximum sentence can be determined based on the provided text.,372.0,594.0,624.0
Name the wizard who is known for having a chocolate frog card dedicated to him for his work with the Philosopher's Stone.,Nicolas Flamel,"{'answer': 'Albus Dumbledore', 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'Albus Dumbledore', 'source': ""The extract from 'Harry Potter and the Philosopher's Stone' mentions Albus Dumbledore having a chocolate frog card.""}","{'answer': 'Albus Dumbledore', 'source': ""The extract provided mentions that Harry obtained a Chocolate Frog card featuring Albus Dumbledore, and it describes Dumbledore as being known for his work on the Philosopher's Stone.""}",0,The given answer 'Albus Dumbledore' is incorrect as Nicolas Flamel is the wizard known for having a chocolate frog card dedicated to him for his work with the Philosopher's Stone.,0,"Albus Dumbledore was mentioned in the given answer instead of Nicolas Flamel, who is the correct answer according to the question.",0,The given answer is incorrect. The correct answer is Nicolas Flamel.,372.0,594.0,624.0
"In which book and chapter does Harry first discover the Mirror of Erised, and what does he see in it","Harry Potter and the Philosopher's Stone, Chapter 12 'The Mirror of Erised'. Harry sees his deceased parents","{'answer': ""The Mirror of Erised is first introduced to Harry in Chapter 13 ('The Name of the Dead') of J.K. Rowling's 'Harry Potter and the Philosopher's Stone'. In the mirror, Harry sees a reflection that he finds irresistibly appealing because it shows him what he most desires."", 'source': ""J.K. Rowling's 'Harry Potter and the Philosopher's Stone'""}","{'answer': ""The Mirror of Erised is first discovered by Harry in 'Harry Potter and the Philosopher's Stone' in Chapter 12, which is titled 'The Mirror of Erised'. In this mirror, Harry sees reflections of his deceased parents and other family members."", 'source': ""The information provided in this answer is based on the text you have given in the extract from 'Harry Potter and the Philosopher's Stone' by J.K. Rowling.""}","{'answer': ""The Mirror of Erised is first discovered by Harry in Book 1, Chapter 12 of Harry Potter and the Philosopher's Stone."", 'source': 'In this chapter, Harry enters the Room of Requirement three nights in a row and finds the Mirror of Erised, which shows him images of his deepest desires and longings, specifically his family.'}",0,The given answer is incorrect as it states that the Mirror of Erised is first introduced to Harry in Chapter 13 instead of Chapter 12 and also incorrectly describes what Harry sees in the mirror.,3,The given answer correctly identifies the book and chapter where Harry first discovers the Mirror of Erised and provides a detailed description of what Harry sees in it based on the text provided.,3,The given answer correctly identifies the book and chapter where Harry first discovers the Mirror of Erised. It also provides a detailed explanation of what Harry sees in the mirror.,372.0,594.0,624.0
What is the exact location of the entrance to the Ministry of Magic that Harry and Mr. Weasley use in 'Harry Potter and the Order of the Phoenix'? How do they enter?,"They enter through a telephone booth located on the corner of a street in London. The visitor's entrance code is 62442, spelling out 'MAGIC'.","{'answer': 'They enter through the Department of Mysteries at the back of the Muggle post office in London, using the Invisibility Cloak to hide themselves from Muggles. The entrance is concealed by an enchanted painting of a fat woman with a plate of roasting meats and a large fan.', 'source': 'Harry Potter and the Order of the Phoenix by J.K. Rowling'}","{'answer': ""The entrance to the Ministry of Magic that Harry and Mr. Weasley use in 'Harry Potter and the Order of the Phoenix' is through a telephone box in Diagon Alley. They call the Ministry for permission to enter, are verified by security, and then the telephone box sinks into the ground and takes them down to the Ministry's Atrium."", 'source': 'Book: Harry Potter and the Order of the Phoenix by J.K. Rowling'}","{'answer': 'They enter the Ministry of Magic through a red telephone box located at a shabby street, which is missing several panes of glass and stands before a heavily graffittied wall. After dialing a number and stating their names and business to the voice that answers over the phone, they are instructed to submit to a search and present their wand for registration at the security desk.', 'source': 'book5_order_of_the_phoenix_Chapter_7_THE_MINISTRY_OF_MAGIC'}",0,"The given answer is incorrect as it states that Harry and Mr. Weasley enter through the Department of Mysteries using an Invisibility Cloak, while the correct answer mentions a telephone booth and a visitor's entrance code.",2,"The given answer mentions that the entrance is in Diagon Alley and involves calling the Ministry for permission, but it does not specify the exact location of the telephone box within London.",2,"The given answer is incomplete as it mentions the location of the entrance being a red telephone box and provides some information about how they enter, but does not specify the exact location of the entrance or the visitor's entrance code.",372.0,594.0,624.0
What specific ingredient is needed to make the Draught of Living Death?,Powdered root of asphodel,"{'answer': 'The specific ingredient needed to make the Draught of Living Death is not provided in the question.', 'source': 'The question does not provide any information about where to find the specific ingredient for making the Draught of Living Death.'}","{'answer': ""Harry's blood"", 'source': ""The extract from chapter tom_riddle describes Voldemort's rebirth process, during which Harry's blood was one of the ingredients added into the cauldron for his master's resurrection.""}","{'answer': ""Harry's blood"", 'source': ""The extract of chapter tom_riddle describes Voldemort's rebirth by adding Harry's blood into a potion for his physical body to return.""}",1,The given answer correctly identifies that no specific answer can be provided based on the information given in the question.,0,"The given answer is incorrect as it mentions Harry's blood instead of the correct ingredient, powdered root of asphodel, for making the Draught of Living Death.",0,"The given answer does not match the correct answer. The ingredient mentioned in the given answer is Harry's blood, while the correct answer states that Powdered root of asphodel is required to make the Draught of Living Death.",372.0,594.0,624.0
